16
5 9 0.248733 0.164087 0.299202 0.373811 1.566187
1 9 0.221336 0.147723 0.438026 0.950680 2.216253
4 9 0.014262 0.028841 0.047311 0.118328 0.506426
3 9 0.081621 0.136724 0.224320 0.267501 1.652410
5 9 0.040984 0.026289 0.075401 0.187072 0.745899
1 9 0.620450 0.572627 1.305554 1.854927 3.277785
2 9 0.069709 0.091133 0.323752 0.535251 1.430651
1 9 0.306473 0.234761 0.335877 0.518548 1.649231
3 9 0.275738 0.127067 0.264043 0.422851 1.894450
1 9 0.372634 0.285472 0.821421 2.790163 4.023971
1 9 0.165217 0.321778 0.677053 1.353519 3.361570
1 9 0.622438 0.530637 0.944033 1.739719 4.656904
2 9 0.284283 0.239484 0.285357 0.456931 2.545929
1 9 0.177134 0.194543 0.197483 0.346510 1.057813
1 9 0.172949 0.286587 0.530131 0.998742 1.683343
5 9 0.000000 0.000000 0.000000 0.000000 0.000000
