4 qid:1 1:0.118686 2:0.074544 3:0.149950 4:0.537966 5:1.482420
5 qid:1 1:0.060141 2:0.032934 3:0.158996 4:0.354140 5:0.673522
1 qid:1 1:0.639458 2:0.369537 3:0.972311 4:2.935713 5:5.297541
3 qid:1 1:0.034686 2:0.037191 3:0.081391 4:0.199304 5:0.603234
3 qid:1 1:0.047629 2:0.035918 3:0.073221 4:0.175887 5:0.697970
1 qid:1 1:0.318129 2:0.215756 3:0.669944 4:1.163725 5:5.116803
4 qid:1 1:0.095422 2:0.071263 3:0.304853 4:0.495624 5:1.118522
2 qid:1 1:0.136193 2:0.150387 3:0.310405 4:0.579584 5:1.467495
2 qid:1 1:0.082669 2:0.095878 3:0.234308 4:0.411310 5:1.287015
1 qid:1 1:0.298089 2:0.286651 3:0.635420 4:1.060724 5:4.395595
3 qid:1 1:0.053946 2:0.106874 3:0.276438 4:0.447336 5:1.631541
1 qid:1 1:0.443073 2:0.348062 3:1.092744 4:2.535646 5:5.649434
1 qid:1 1:0.349170 2:0.261346 3:0.530432 4:1.867690 5:4.555604
1 qid:1 1:0.040715 2:0.089756 3:0.157164 4:0.430607 5:0.726608
1 qid:1 1:0.322794 2:0.311107 3:0.724762 4:1.466020 5:4.087277
1 qid:1 1:0.520521 2:0.487499 3:0.813683 4:2.193796 5:4.552842
4 qid:1 1:0.058208 2:0.069894 3:0.147917 4:0.143286 5:0.837358
1 qid:1 1:0.340531 2:0.201753 3:0.753070 4:0.752696 5:5.297947
1 qid:1 1:0.989711 2:0.214666 3:1.347504 4:2.882738 5:4.333455
1 qid:1 1:0.248862 2:0.448354 3:0.532071 4:1.826029 5:5.573141
4 qid:1 1:0.053422 2:0.057883 3:0.116080 4:0.448605 5:0.899684
1 qid:1 1:0.439280 2:0.379862 3:0.801850 4:1.863076 5:4.292453
3 qid:1 1:0.046398 2:0.054479 3:0.065683 4:0.130958 5:0.581878
1 qid:1 1:0.223255 2:0.114101 3:0.552589 4:3.127041 5:5.087707
1 qid:1 1:0.195341 2:0.134266 3:0.908970 4:1.176559 5:4.986721
1 qid:1 1:0.219868 2:0.201126 3:0.391250 4:0.599649 5:2.923641
3 qid:1 1:0.058138 2:0.061889 3:0.257588 4:0.290132 5:1.175022
3 qid:1 1:0.073292 2:0.100754 3:0.222097 4:0.471264 5:0.803039
3 qid:1 1:0.044843 2:0.038620 3:0.109179 4:0.637665 5:1.288178
3 qid:1 1:0.849825 2:0.510430 3:1.217068 4:1.715177 5:5.855639
1 qid:1 1:0.463060 2:0.202343 3:0.698751 4:1.316286 5:5.743640
1 qid:1 1:0.325202 2:0.088141 3:0.796161 4:5.142894 5:5.844986
1 qid:1 1:0.409192 2:0.436650 3:0.790817 4:2.239864 5:4.775614
5 qid:1 1:0.022772 2:0.010383 3:0.022544 4:0.021347 5:0.262206
3 qid:1 1:0.115020 2:0.060629 3:0.254329 4:0.278710 5:0.860842
3 qid:1 1:0.061497 2:0.024267 3:0.122013 4:0.291524 5:0.955586
3 qid:1 1:0.157223 2:0.166326 3:0.096393 4:0.736441 5:2.567414
1 qid:1 1:0.273834 2:0.311922 3:0.547581 4:0.810981 5:4.602851
4 qid:1 1:0.128336 2:0.140344 3:0.244506 4:0.897414 5:2.839992
4 qid:1 1:0.069520 2:0.047949 3:0.107152 4:0.244284 5:1.030957
1 qid:1 1:0.181272 2:0.096489 3:0.323190 4:1.788618 5:5.098605
3 qid:1 1:0.066160 2:0.043693 3:0.176324 4:0.545812 5:0.735262
1 qid:1 1:0.389568 2:0.313092 3:0.556760 4:2.276756 5:5.655393
3 qid:1 1:0.074480 2:0.047789 3:0.214976 4:0.253982 5:0.672321
3 qid:1 1:0.059312 2:0.066959 3:0.142280 4:0.516269 5:1.191669
5 qid:1 1:0.044931 2:0.023756 3:0.051588 4:0.135435 5:0.164607
4 qid:1 1:0.069232 2:0.057126 3:0.188611 4:0.451302 5:0.646365
3 qid:1 1:0.065680 2:0.090019 3:0.330972 4:0.756730 5:1.384109
3 qid:1 1:0.038984 2:0.043689 3:0.188881 4:0.698314 5:0.642846
2 qid:1 1:0.189738 2:0.120645 3:0.502149 4:0.639607 5:2.138015
1 qid:1 1:0.312903 2:0.245852 3:0.638021 4:1.890848 5:5.464401
5 qid:1 1:0.044575 2:0.022622 3:0.076047 4:0.386717 5:0.613094
3 qid:1 1:0.041993 2:0.051553 3:0.121449 4:0.197526 5:0.946687
3 qid:1 1:0.051969 2:0.038281 3:0.083665 4:0.295796 5:0.667731
3 qid:1 1:0.029254 2:0.061294 3:0.141688 4:0.212407 5:0.739625
1 qid:1 1:0.274145 2:0.218003 3:0.431828 4:0.905699 5:5.616211
2 qid:1 1:0.100904 2:0.096341 3:0.118883 4:0.258920 5:1.090263
1 qid:1 1:0.256394 2:0.173235 3:0.515187 4:0.713615 5:4.827109
1 qid:1 1:0.340502 2:0.388851 3:0.593867 4:1.882059 5:5.470936
1 qid:1 1:0.324166 2:0.190469 3:0.629978 4:1.642062 5:5.301106
3 qid:1 1:0.088359 2:0.067470 3:0.215228 4:0.413680 5:1.233255
3 qid:1 1:0.045421 2:0.038243 3:0.119737 4:0.233082 5:0.661239
3 qid:1 1:0.108619 2:0.084186 3:0.257821 4:0.397732 5:1.319347
4 qid:1 1:0.034590 2:0.060275 3:0.092595 4:0.152499 5:0.538242
1 qid:1 1:0.261543 2:0.322675 3:0.573484 4:1.491045 5:5.027497
3 qid:1 1:0.056067 2:0.025651 3:0.041561 4:0.058248 5:0.304067
2 qid:1 1:0.089258 2:0.086072 3:0.185966 4:0.348608 5:1.037836
