4 qid:1 1:0.118686 2:0.074544 3:0.149950 4:0.537966 5:1.482420
5 qid:1 1:0.060141 2:0.032934 3:0.158996 4:0.354140 5:0.673522
1 qid:1 1:0.639458 2:0.369537 3:0.972311 4:2.935713 5:5.297541
3 qid:1 1:0.034686 2:0.037191 3:0.081391 4:0.199304 5:0.603234
3 qid:1 1:0.047629 2:0.035918 3:0.073221 4:0.175887 5:0.697970
1 qid:1 1:0.318129 2:0.215756 3:0.669944 4:1.163725 5:5.116803
4 qid:1 1:0.095422 2:0.071263 3:0.304853 4:0.495624 5:1.118522
2 qid:1 1:0.136193 2:0.150387 3:0.310405 4:0.579584 5:1.467495
2 qid:1 1:0.082669 2:0.095878 3:0.234308 4:0.411310 5:1.287015
1 qid:1 1:0.298089 2:0.286651 3:0.635420 4:1.060724 5:4.395595
3 qid:1 1:0.053946 2:0.106874 3:0.276438 4:0.447336 5:1.631541
1 qid:1 1:0.443073 2:0.348062 3:1.092744 4:2.535646 5:5.649434
1 qid:1 1:0.349170 2:0.261346 3:0.530432 4:1.867690 5:4.555604
1 qid:1 1:0.040715 2:0.089756 3:0.157164 4:0.430607 5:0.726608
1 qid:1 1:0.322794 2:0.311107 3:0.724762 4:1.466020 5:4.087277
1 qid:1 1:0.520521 2:0.487499 3:0.813683 4:2.193796 5:4.552842
1 qid:1 1:0.261238 2:0.477467 3:0.777248 4:1.642077 5:4.882974
1 qid:1 1:0.367328 2:0.576956 3:1.202243 4:2.272247 5:5.187462
4 qid:1 1:0.161567 2:0.062300 3:0.208023 4:0.522821 5:0.737318
3 qid:1 1:0.029518 2:0.050287 3:0.097663 4:0.387932 5:0.441004
3 qid:1 1:0.085846 2:0.113645 3:0.165082 4:0.537437 5:1.371732
3 qid:1 1:0.063782 2:0.055848 3:0.181600 4:0.324180 5:0.821934
1 qid:1 1:0.570813 2:0.245484 3:0.844150 4:2.431558 5:4.367989
4 qid:1 1:0.034845 2:0.040319 3:0.106821 4:0.150956 5:0.402025
1 qid:1 1:0.201630 2:0.307053 3:0.377947 4:0.520132 5:4.256183
1 qid:1 1:0.429930 2:0.195284 3:0.695954 4:2.262005 5:4.498473
1 qid:1 1:0.245107 2:0.125402 3:1.986209 4:4.160876 5:5.410132
4 qid:1 1:0.072869 2:0.056952 3:0.139748 4:0.227272 5:1.319592
4 qid:1 1:0.130824 2:0.152760 3:0.316354 4:0.409243 5:0.958184
2 qid:1 1:0.056106 2:0.073340 3:0.299819 4:0.584775 5:1.020491
5 qid:1 1:0.017359 2:0.056265 3:0.089608 4:0.210411 5:0.628599
3 qid:1 1:0.028082 2:0.036298 3:0.028234 4:0.148303 5:0.516843
1 qid:1 1:0.409192 2:0.436650 3:0.790817 4:2.239864 5:4.775614
5 qid:1 1:0.022772 2:0.010383 3:0.022544 4:0.021347 5:0.262206
3 qid:1 1:0.115020 2:0.060629 3:0.254329 4:0.278710 5:0.860842
3 qid:1 1:0.061497 2:0.024267 3:0.122013 4:0.291524 5:0.955586
3 qid:1 1:0.157223 2:0.166326 3:0.096393 4:0.736441 5:2.567414
1 qid:1 1:0.273834 2:0.311922 3:0.547581 4:0.810981 5:4.602851
4 qid:1 1:0.128336 2:0.140344 3:0.244506 4:0.897414 5:2.839992
4 qid:1 1:0.069520 2:0.047949 3:0.107152 4:0.244284 5:1.030957
1 qid:1 1:0.181272 2:0.096489 3:0.323190 4:1.788618 5:5.098605
3 qid:1 1:0.066160 2:0.043693 3:0.176324 4:0.545812 5:0.735262
1 qid:1 1:0.389568 2:0.313092 3:0.556760 4:2.276756 5:5.655393
3 qid:1 1:0.074480 2:0.047789 3:0.214976 4:0.253982 5:0.672321
3 qid:1 1:0.059312 2:0.066959 3:0.142280 4:0.516269 5:1.191669
5 qid:1 1:0.044931 2:0.023756 3:0.051588 4:0.135435 5:0.164607
4 qid:1 1:0.069232 2:0.057126 3:0.188611 4:0.451302 5:0.646365
3 qid:1 1:0.065680 2:0.090019 3:0.330972 4:0.756730 5:1.384109
3 qid:1 1:0.038984 2:0.043689 3:0.188881 4:0.698314 5:0.642846
2 qid:1 1:0.189738 2:0.120645 3:0.502149 4:0.639607 5:2.138015
1 qid:1 1:0.312903 2:0.245852 3:0.638021 4:1.890848 5:5.464401
5 qid:1 1:0.044575 2:0.022622 3:0.076047 4:0.386717 5:0.613094
3 qid:1 1:0.041993 2:0.051553 3:0.121449 4:0.197526 5:0.946687
3 qid:1 1:0.051969 2:0.038281 3:0.083665 4:0.295796 5:0.667731
3 qid:1 1:0.029254 2:0.061294 3:0.141688 4:0.212407 5:0.739625
1 qid:1 1:0.274145 2:0.218003 3:0.431828 4:0.905699 5:5.616211
2 qid:1 1:0.100904 2:0.096341 3:0.118883 4:0.258920 5:1.090263
1 qid:1 1:0.256394 2:0.173235 3:0.515187 4:0.713615 5:4.827109
1 qid:1 1:0.340502 2:0.388851 3:0.593867 4:1.882059 5:5.470936
1 qid:1 1:0.324166 2:0.190469 3:0.629978 4:1.642062 5:5.301106
3 qid:1 1:0.088359 2:0.067470 3:0.215228 4:0.413680 5:1.233255
3 qid:1 1:0.045421 2:0.038243 3:0.119737 4:0.233082 5:0.661239
3 qid:1 1:0.108619 2:0.084186 3:0.257821 4:0.397732 5:1.319347
4 qid:1 1:0.034590 2:0.060275 3:0.092595 4:0.152499 5:0.538242
1 qid:1 1:0.261543 2:0.322675 3:0.573484 4:1.491045 5:5.027497
3 qid:1 1:0.056067 2:0.025651 3:0.041561 4:0.058248 5:0.304067
2 qid:1 1:0.089258 2:0.086072 3:0.185966 4:0.348608 5:1.037836
